"tmin1" "tmin2" "tmin3" "tmin4" "tmin5" "tmin6" "tmin7" "tmin8" "tmin9" "tmin10" "tmin11" "tmin12" "prec1" "prec2" "prec3" "prec4" "prec5" "prec6" "prec7" "prec8" "prec9" "prec10" "prec11" "prec12"
"1" -9.6 -9.7 -6 0.3 6.1 10.5 12.5 11.5 7.4 3.2 -1.5 -6.4 35 27 28 35 49 62 73 80 68 59 54 42
"2" -9.5 -9.7 -5.8 0.4 6.1 10.5 12.5 11.6 7.4 3.3 -1.4 -6.3 36 27 28 35 49 61 73 79 68 60 54 43
"3" -9.5 -9.7 -5.8 0.4 6.1 10.5 12.5 11.6 7.4 3.3 -1.4 -6.3 36 28 29 35 49 61 73 79 68 60 55 44
"4" -9.5 -9.7 -6 0.2 6 10.4 12.4 11.5 7.4 3.3 -1.4 -6.3 38 29 31 36 48 60 72 79 69 63 58 46
"5" -9.2 -9.5 -5.7 0.4 6.1 10.7 12.7 11.8 7.7 3.6 -1.2 -6 38 29 31 35 46 57 69 77 69 64 60 48
"6" -9.4 -9.6 -5.7 0.4 6.1 10.5 12.5 11.6 7.6 3.4 -1.3 -6.2 37 29 30 35 48 60 71 79 68 62 57 45
"7" -9.6 -9.8 -5.9 0.2 5.9 10.4 12.4 11.5 7.4 3.2 -1.5 -6.4 37 28 30 35 49 61 73 80 69 61 56 45
"8" -9.6 -9.7 -5.8 0.4 6.2 10.6 12.6 11.6 7.5 3.4 -1.4 -6.4 33 25 27 34 49 60 72 78 67 58 52 39
"9" -9.9 -9.9 -6 0.3 6.1 10.5 12.4 11.4 7.3 3.2 -1.7 -6.6 33 25 28 35 49 61 73 78 67 59 52 40
"10" -9.8 -9.8 -5.9 0.4 6.2 10.6 12.5 11.5 7.3 3.1 -1.6 -6.6 33 25 27 35 48 60 72 78 67 59 53 41
"11" -10 -9.9 -5.9 0.4 6.2 10.5 12.5 11.4 7.3 3.1 -1.7 -6.6 33 26 28 35 48 61 73 78 67 59 53 42
"12" -9.9 -10 -6 0.4 6.1 10.6 12.4 11.4 7.2 3.1 -1.7 -6.7 34 26 28 35 48 61 73 78 67 59 53 42
"13" -9.9 -9.8 -5.9 0.5 6.2 10.5 12.5 11.6 7.3 3.2 -1.6 -6.6 33 26 27 35 48 61 73 78 67 58 53 41
"14" -9.9 -10 -6.2 0.2 5.9 10.2 12.2 11.2 7.1 3.1 -1.7 -6.7 35 26 28 35 51 63 75 80 68 59 53 41
"15" -9.9 -9.9 -6.1 0.2 6 10.3 12.3 11.3 7.3 3.1 -1.7 -6.6 34 26 28 35 51 62 74 79 67 58 52 40
"16" -9.7 -9.7 -5.8 0.5 6.2 10.6 12.6 11.6 7.5 3.3 -1.4 -6.4 33 25 27 34 49 61 72 78 66 58 52 39
"17" -10.1 -10.1 -6.2 0.1 5.9 10.2 12.2 11.2 7.1 2.9 -1.9 -6.8 34 26 28 35 51 62 74 79 67 59 53 41
"18" -10.2 -10.1 -6.2 0.1 5.9 10.2 12.1 11.2 7 2.8 -1.9 -6.9 34 26 28 36 50 62 75 79 67 59 53 42
"19" -10.2 -10.1 -6 0.4 6.2 10.5 12.4 11.4 7.1 3 -1.8 -6.8 34 27 28 36 47 62 74 78 68 59 54 43
"20" -10.2 -10.1 -6 0.4 6.2 10.6 12.5 11.4 7.1 3 -1.8 -6.8 34 27 28 36 47 62 74 78 68 59 54 43
"21" -10.2 -10.1 -6 0.4 6.2 10.5 12.4 11.4 7.1 3 -1.8 -6.9 34 27 28 36 47 62 74 78 68 59 55 43
"22" -9.8 -9.9 -6 0.2 5.8 10.3 12.2 11.2 7.2 3 -1.7 -6.6 37 28 29 36 50 62 74 80 68 60 56 44
"23" -9.7 -9.8 -5.9 0.2 6 10.4 12.3 11.4 7.3 3.1 -1.5 -6.4 37 28 30 36 49 61 74 80 68 61 56 45
"24" -9.2 -9.4 -5.6 0.5 6.3 10.7 12.7 11.7 7.8 3.5 -1.1 -6 38 28 31 35 46 56 69 77 69 63 61 49
"25" -10 -10.1 -6.1 0.3 6 10.4 12.2 11.2 7.1 3 -1.8 -6.8 34 26 28 36 49 62 75 79 67 59 53 42
"26" -10 -10 -6.1 0.2 6 10.4 12.2 11.3 7.1 3 -1.8 -6.7 34 26 28 35 50 62 74 79 67 58 53 41
"27" -10.1 -10 -6.1 0.2 6 10.3 12.3 11.2 7.1 2.9 -1.8 -6.8 34 26 28 36 50 62 75 79 67 58 53 42
"28" -10 -10.1 -6.1 0.3 6 10.3 12.2 11.2 7.1 3 -1.8 -6.8 35 27 28 36 49 62 75 78 67 58 53 43
"29" -10.1 -10.2 -6 0.3 6.2 10.5 12.4 11.3 7.1 3 -1.9 -6.9 34 27 28 36 48 62 75 78 67 59 54 43
"30" -10.1 -10.1 -6.3 0 5.8 10.1 12.1 11.1 7 2.8 -1.9 -6.8 35 27 28 36 51 63 76 80 68 59 54 42
