"plot" "taxa" "cover" "date"
"1" 1 "Achillea_millefolium" 3 "01-07-15"
"2" 1 "Anthoxanthum_odoratum" 1 "01-07-15"
"3" 1 "Avenula_pubescens" 5 "01-07-15"
"4" 1 "Briza_media" 20 "01-07-15"
"5" 1 "Campanula_patula" 2 "01-07-15"
"6" 1 "Cerastium_arvense" 1 "01-07-15"
"7" 1 "Dactylis_glomerata" 5 "01-07-15"
"8" 1 "Equisetum_arvense" 1 "01-07-15"
"9" 1 "Festuca_pratensis" 1 "01-07-15"
"10" 1 "Festuca_rubra" 2 "01-07-15"
"11" 1 "Fragaria_vesca" 20 "01-07-15"
"12" 1 "Hieracium_sp." 2 "01-07-15"
"13" 1 "Lathyrus_pratense" 3 "01-07-15"
"14" 1 "Leontodon_hispidus" 2 "01-07-15"
"15" 1 "Linum_catharticum" 1 "01-07-15"
"16" 1 "Luzula_multiflora" 3 "01-07-15"
"17" 1 "Medicago_lupulina" 5 "01-07-15"
"18" 1 "Potentilla_anserina" 2 "01-07-15"
"19" 1 "Ranunculus_acris" 1 "01-07-15"
"20" 1 "Rumex_acetosa" 1 "01-07-15"
"21" 1 "Stellaria_graminea" 1 "01-07-15"
"22" 1 "Taraxacum_sp." 10 "01-07-15"
"23" 1 "Veronica_chamaedrys" 1 "01-07-15"
"24" 1 "Vicia_cracca" 5 "01-07-15"
"25" 1 "Vicia_sepium" 2 "01-07-15"
"26" 2 "Achillea_millefolium" 5 "01-07-15"
"27" 2 "Anthoxanthum_odoratum" 2 "01-07-15"
"28" 2 "Avenula_pubescens" 5 "01-07-15"
"29" 2 "Briza_media" 10 "01-07-15"
"30" 2 "Cerastium_arvense" 1 "01-07-15"
"31" 2 "Dactylis_glomerata" 20 "01-07-15"
"32" 2 "Equisetum_arvense" 2 "01-07-15"
"33" 2 "Festuca_pratensis" 5 "01-07-15"
"34" 2 "Festuca_rubra" 1 "01-07-15"
"35" 2 "Fragaria_vesca" 3 "01-07-15"
"36" 2 "Lathyrus_pratense" 3 "01-07-15"
"37" 2 "Leontodon_hispidus" 10 "01-07-15"
"38" 2 "Luzula_multiflora" 5 "01-07-15"
"39" 2 "Medicago_lupulina" 30 "01-07-15"
"40" 2 "Ranunculus_acris" 2 "01-07-15"
"41" 2 "Rumex_acetosa" 1 "01-07-15"
"42" 2 "Taraxacum_sp." 15 "01-07-15"
"43" 2 "Trifolium_pratense" 5 "01-07-15"
"44" 2 "Veronica_chamaedrys" 1 "01-07-15"
"45" 2 "Vicia_cracca" 5 "01-07-15"
"46" 2 "Vicia_sepium" 2 "01-07-15"
"47" 3 "Achillea_millefolium" 5 "01-07-15"
"48" 3 "Agrimonia_eupatoria" 1 "01-07-15"
"49" 3 "Anthoxanthum_odoratum" 20 "01-07-15"
"50" 3 "Artemisia_vulgaris" 1 "01-07-15"
"51" 3 "Avenula_pubescens" 10 "01-07-15"
"52" 3 "Briza_media" 30 "01-07-15"
"53" 3 "Cerastium_arvense" 1 "01-07-15"
"54" 3 "Dactylis_glomerata" 10 "01-07-15"
"55" 3 "Equisetum_arvense" 3 "01-07-15"
"56" 3 "Festuca_rubra" 1 "01-07-15"
"57" 3 "Leontodon_hispidus" 5 "01-07-15"
"58" 3 "Luzula_multiflora" 10 "01-07-15"
"59" 3 "Medicago_lupulina" 25 "01-07-15"
"60" 3 "Potentilla_anserina" 15 "01-07-15"
