"seed.weight..g." "clonal" "leaf"
"1" 6.4 1 NA
"2" 2.36 1 5
"3" 4 2 4
"4" 3.16 2 NA
"5" NA 1 NA
"6" 2.56 3 4
"7" 0.56 1 NA
"8" 0.03 2 1
"9" 1.09 1 3
"10" 0.307 2 4
"11" NA 1 4
"12" 0.53 NA 2
"13" NA 1 NA
"14" NA NA NA
"15" 0.045 3 NA
"16" 0.94 1 3
"17" 0.31 3 4
"18" NA 3 NA
"19" 5.095 1 4
"20" NA 1 NA
"21" 3 1 NA
"22" NA NA 4
"23" 15 1 NA
"24" 1.02 1 3
"25" NA 3 NA
"26" 10.5 3 3
"27" 5.09 NA 3
"28" 2.18 1 3
"29" 0.7 1 4
"30" 0.67 1 4
"31" 0.31 1 4
"32" 0.001 3 3
"33" 1.47 1 3
"34" 5.8 3 4
"35" NA 3 NA
"36" NA 1 NA
"37" 10.3 3 4
"38" 2.92 2 3
"39" 0.28 3 4
"40" 0.6 3 3
"41" 0.3 3 3
"42" 0.3 3 3
"43" 0.21 2 3
"44" 2.6 3 NA
"45" 1.18 NA 5
"46" 4.17 1 4
"47" 0.1 1 NA
"48" 0.43 1 NA
"49" NA NA NA
"50" NA 1 NA
"51" 0.56 1 NA
"52" 0.25 1 4
"53" NA 1 NA
"54" NA 3 NA
"55" NA NA NA
"56" 4.23 NA 4
"57" 0.53 2 NA
"58" 0.91 2 3
"59" 0.002 2 3
"60" NA NA NA
"61" 8 NA 4
"62" 0.14 3 4
"63" NA NA NA
"64" NA NA 3
"65" 0.22 1 3
"66" NA 2 NA
"67" 0.3 1 2
"68" 31.2 1 4
"69" 0.4 1 3
"70" NA 1 NA
"71" 0.001 2 3
"72" NA NA NA
"73" 4.07 1 4
"74" 0.26 1 3
"75" 0.107 3 4
"76" 0.13 2 3
"77" 0.905 1 4
"78" NA 2 NA
"79" 1.3 1 4
