"","x"
"Amblysomus_corriae","NT"
"Amblysomus_hottentotus","LC"
"Amblysomus_marleyi","EN"
"Amblysomus_robustus","VU"
"Amblysomus_septentrionalis","NT"
"Calcochloris_obtusirostris","LC"
"Carpitalpa_arendsi","VU"
"Chlorotalpa_duthieae","VU"
"Chlorotalpa_sclateri","LC"
"Chrysochloris_asiatica","LC"
"Chrysochloris_stuhlmanni","LC"
"Chrysochloris_visagiei","DD"
"Chrysospalax_trevelyani","EN"
"Chrysospalax_villosus","VU"
"Cryptochloris_wintoni","CR"
"Cryptochloris_zyli","EN"
"Eremitalpa_granti","LC"
"Neamblysomus_gunningi","EN"
"Neamblysomus_julianae","EN"
"Echinops_telfairi","LC"
"Geogale_aurita","LC"
"Hemicentetes_nigriceps","LC"
"Hemicentetes_semispinosus","LC"
"Limnogale_mergulus","VU"
"Microgale_brevicaudata","LC"
"Microgale_cowani","LC"
"Microgale_dobsoni","LC"
"Microgale_drouhardi","LC"
"Microgale_dryas","VU"
"Microgale_fotsifotsy","LC"
"Microgale_gracilis","LC"
"Microgale_gymnorhyncha","LC"
"Microgale_longicaudata","LC"
"Microgale_monticola","VU"
"Microgale_parvula","LC"
"Microgale_principula","LC"
"Microgale_pusilla","LC"
"Microgale_soricoides","LC"
"Microgale_taiva","LC"
"Microgale_talazaci","LC"
"Microgale_thomasi","LC"
"Micropotamogale_lamottei","VU"
"Micropotamogale_ruwenzorii","LC"
"Oryzorictes_hova","LC"
"Oryzorictes_tetradactylus","DD"
"Potamogale_velox","LC"
"Setifer_setosus","LC"
"Tenrec_ecaudatus","LC"
"Antilocapra_americana","LC"
"Addax_nasomaculatus","CR"
"Aepyceros_melampus","LC"
"Alcelaphus_buselaphus","LC"
"Alcelaphus_caama",NA
"Alcelaphus_lichtensteinii",NA
"Ammodorcas_clarkei","VU"
"Ammotragus_lervia","VU"
"Antidorcas_marsupialis","LC"
"Antilope_cervicapra","LC"
"Beatragus_hunteri","CR"
"Bison_bison","NT"
"Bison_bonasus","NT"
"Bos_frontalis",NA
"Bos_grunniens",NA
"Bos_javanicus","EN"
"Bos_sauveli","CR"
"Bos_taurus",NA
"Boselaphus_tragocamelus","LC"
"Bubalus_bubalis",NA
"Bubalus_depressicornis","EN"
"Bubalus_mindorensis","CR"
"Bubalus_quarlesi","EN"
"Budorcas_taxicolor","VU"
"Capra_caucasica","EN"
"Capra_falconeri","NT"
"Capra_hircus",NA
"Capra_ibex","LC"
"Capra_nubiana","VU"
"Capra_pyrenaica","LC"
"Capra_sibirica","NT"
"Capra_walie","VU"
"Capricornis_crispus","LC"
"Capricornis_milneedwardsii",NA
"Capricornis_rubidus","NT"
