"","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","incubation_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d","Eigen.1","Eigen.2","Eigen.3","Eigen.4","Eigen.5","Eigen.6","Eigen.7","Eigen.8","Eigen.9","Eigen.10","IUCN","order","family","genus","taxonID"
"Amblysomus_corriae",NA,1.93,2,64.8,1,NA,NA,4.5,NA,NA,1,NA,NA,NA,NA,NA,13,NA,NA,4.7,NA,NA,NA,NA,-1.33478969714186,0.793901199626154,-1.25168779952023,-0.127938864821761,-0.262211182342152,-0.256148201768504,-0.559766626815358,0.0444722774264075,-0.269361437711954,3.38584002770607,"NT","Afrosoricida","Chrysochloridae","Amblysomus","http://www.gbif.org/species/5218448"
"Amblysomus_hottentotus",NA,1.93,2,64.8,1,NA,NA,4.5,NA,NA,1,NA,NA,NA,NA,NA,13,NA,NA,4.7,NA,NA,NA,NA,-1.33477321577025,0.793889230222834,-1.25164138359739,-0.127932857860996,-0.262195881710409,-0.256132370918968,-0.559720914184137,0.0444680708356219,-0.269331041951619,3.38532439945394,"LC","Afrosoricida","Chrysochloridae","Amblysomus","http://www.gbif.org/species/5218439"
"Amblysomus_marleyi",NA,1.93,2,64.8,1,NA,NA,4.5,NA,NA,1,NA,NA,NA,NA,NA,13,NA,NA,4.7,NA,NA,NA,NA,-1.33476211769084,0.793881168813676,-1.2516100736817,-0.127928803031207,-0.262185545132525,-0.256121673539695,-0.559689981520593,0.0444652217440209,-0.2693104287102,3.38497375202185,"EN","Afrosoricida","Chrysochloridae","Amblysomus","http://www.gbif.org/species/5218446"
"Amblysomus_robustus",NA,1.93,2,64.8,1,NA,NA,4.5,NA,NA,1,NA,NA,NA,NA,NA,13,NA,NA,4.7,NA,NA,NA,NA,-1.33477088513501,0.793887536841756,-1.25163479234802,-0.127932003425969,-0.262193701152943,-0.256130113488126,-0.559714373947028,0.044467467684519,-0.269326670454327,3.38524975589662,"VU","Afrosoricida","Chrysochloridae","Amblysomus","http://www.gbif.org/species/5218438"
"Amblysomus_septentrionalis",NA,1.93,2,64.8,1,NA,NA,4.5,NA,NA,1,NA,NA,NA,NA,NA,13,NA,NA,4.7,NA,NA,NA,NA,-1.33477691314288,0.793891916047444,-1.25165181927719,-0.127934209587953,-0.262199328246876,-0.25613593798136,-0.559731232472815,0.044469021439023,-0.269337921891828,3.38544151791618,"NT","Afrosoricida","Chrysochloridae","Amblysomus","http://www.gbif.org/species/5218447"
"Calcochloris_obtusirostris",NA,2,NA,24.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.442,NA,NA,NA,NA,NA,NA,NA,-1.33416161928423,0.793445053199643,-1.2499185356379,-0.127709871678543,-0.261627837164847,-0.255544621313965,-0.558023408802425,0.0443118418301427,-0.26820196353862,3.36616332803043,"LC","Afrosoricida","Chrysochloridae","Calcochloris","http://www.gbif.org/species/2432190"
"Carpitalpa_arendsi",NA,NA,NA,52.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1385,NA,NA,NA,NA,NA,NA,NA,-1.33474682265229,0.793870062309185,-1.25156704582133,-0.12792323696805,-0.262171374677575,-0.256107014268876,-0.559647689078506,0.0444613321138515,-0.269282345943155,3.38449819345994,"VU","Afrosoricida","Chrysochloridae","Carpitalpa","http://www.gbif.org/species/2432207"
"Chlorotalpa_duthieae",NA,2,NA,31.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.567,NA,NA,NA,NA,NA,NA,NA,-1.33423328664272,0.793497102951924,-1.25012044627926,-0.127736006075529,-0.261694416990776,-0.255613511981925,-0.558222395490809,0.0443301566939806,-0.268334338946023,3.36841027050311,"VU","Afrosoricida","Chrysochloridae","Chlorotalpa","http://www.gbif.org/species/2432215"
"Chlorotalpa_sclateri",NA,2,NA,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,-1.33447605526546,0.793673418539539,-1.25080441839924,-0.127824536977487,-0.261919959692795,-0.255846883389818,-0.558896485315512,0.0443922009641124,-0.268782786124334,3.37602244896994,"LC","Afrosoricida","Chrysochloridae","Chlorotalpa","http://www.gbif.org/species/2432210"
"Chrysochloris_asiatica",NA,3.12,NA,36.93,2.408333333,NA,75.26,0.41,NA,NA,2.408333333,NA,NA,NA,NA,NA,10.825,NA,NA,1.6,NA,NA,NA,NA,-1.33426333438184,0.79351892962292,-1.25020523938191,-0.127746988481347,-0.26172241682038,-0.255642490244536,-0.558306207638619,0.0443378774227664,-0.268390210000649,3.36936110757102,"LC","Afrosoricida","Chrysochloridae","Chrysochloris","http://www.gbif.org/species/2432182"
"Chrysochloris_stuhlmanni",NA,0.96,NA,47.78,NA,NA,73.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.457,NA,NA,NA,NA,NA,NA,NA,-1.33436376279276,0.793591867055204,-1.25048815939295,-0.127783607328916,-0.26181570372149,-0.255739013978516,-0.558584994967658,0.0443635362386556,-0.268575656009468,3.37250851500334,"LC","Afrosoricida","Chrysochloridae","Chrysochloris","http://www.gbif.org/species/2432178"
"Chrysochloris_visagiei",NA,3.12,NA,36.72,2.408333333,NA,75.26,0.41,NA,NA,2.408333333,NA,NA,NA,NA,NA,10.65,NA,NA,1.6,NA,NA,NA,NA,-1.33429312621926,0.793540565927201,-1.25028915273443,-0.127757848806863,-0.261750081463307,-0.255671114110899,-0.558388870113512,0.0443454847783843,-0.268445184409579,3.37029388781713,"DD","Afrosoricida","Chrysochloridae","Chrysochloris","http://www.gbif.org/species/2432181"
"Chrysospalax_trevelyani",NA,1.41,1,434.04,4,115,NA,28,NA,NA,4,NA,NA,NA,NA,NA,23.497,NA,NA,NA,NA,NA,NA,NA,-1.33397890795484,0.793312364866535,-1.24940409978872,-0.127643302086439,-0.261458293888229,-0.255369208904319,-0.557516995383869,0.0442652464939211,-0.267865339732671,3.36045519269541,"EN","Afrosoricida","Chrysochloridae","Chrysospalax","http://www.gbif.org/species/2432198"
"Chrysospalax_villosus",NA,1.965,NA,106.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.25,NA,NA,NA,NA,NA,NA,NA,-1.33414546778987,0.793433322295389,-1.24987301112337,-0.127703978138695,-0.261612819721701,-0.255529081677824,-0.557978507354782,0.0443077081075229,-0.268172076156491,3.36565565895324,"VU","Afrosoricida","Chrysochloridae","Chrysospalax","http://www.gbif.org/species/2432199"
"Cryptochloris_wintoni",NA,NA,NA,22.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9995,NA,NA,NA,NA,NA,NA,NA,-1.33425205332028,0.79351073532279,-1.25017341404657,-0.12774286694226,-0.261711910305153,-0.255631617032779,-0.558274767133267,0.0443349815906321,-0.26836925893758,3.36900472566742,"CR","Afrosoricida","Chrysochloridae","Cryptochloris","http://www.gbif.org/species/5218453"
"Cryptochloris_zyli",NA,NA,NA,21.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.999,NA,NA,NA,NA,NA,NA,NA,-1.3340774498695,0.793383935160742,-1.24968180925702,-0.127679251901634,-0.261549892263033,-0.25546399048924,-0.557790833516984,0.0442904547554958,-0.26804758007514,3.36355005616369,"EN","Afrosoricida","Chrysochloridae","Cryptochloris","http://www.gbif.org/species/5218454"
"Eremitalpa_granti",NA,1.18,NA,22.8,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8.101,NA,NA,NA,NA,NA,NA,NA,-1.33457932518304,0.793748419858681,-1.25109535059394,-0.127862193236654,-0.26201589053689,-0.255946143159532,-0.559183181003297,0.0444185880020247,-0.268973498963216,3.37925938324654,"LC","Afrosoricida","Chrysochloridae","Eremitalpa","http://www.gbif.org/species/2432155"
"Neamblysomus_gunningi",NA,NA,NA,57.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6885,NA,NA,NA,NA,NA,NA,NA,-1.33472678096539,0.79385550497752,-1.2515105225715,-0.127915917798613,-0.262152719413049,-0.256087708703281,-0.559591879252877,0.0444561925369506,-0.26924516970064,3.38386611363687,"EN","Afrosoricida","Chrysochloridae","Neamblysomus","http://www.gbif.org/species/2432175"
"Neamblysomus_julianae",NA,0.96,NA,21.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.542,NA,NA,NA,NA,NA,NA,NA,-1.33474642534805,0.793869772812245,-1.25156589317714,-0.127923086054944,-0.262170985150314,-0.256106609636428,-0.559646493966598,0.0444612205363161,-0.269281523373054,3.38448364009179,"EN","Afrosoricida","Chrysochloridae","Neamblysomus","http://www.gbif.org/species/2432173"
