"","ls","ly","bm","long","gest","svl","wea","fmat"
"Amblysomus_corriae",-0.111443480642341,0.307480550788321,-0.342763932325555,-1.62268540965447,0.0166672993923039,-0.40813451332838,-0.643745133603377,-0.6995528118309
"Amblysomus_hottentotus",-0.111443480642341,0.307480550788321,-0.342763932325555,-1.62268540965447,0.0166672993923039,-0.40813451332838,-0.643745133603377,-0.6995528118309
"Amblysomus_marleyi",-0.111443480642341,0.307480550788321,-0.342763932325555,-1.62268540965447,0.0166672993923039,-0.40813451332838,-0.643745133603377,-0.6995528118309
"Amblysomus_robustus",-0.111443480642341,0.307480550788321,-0.342763932325555,-1.62268540965447,0.0166672993923039,-0.40813451332838,-0.643745133603377,-0.6995528118309
"Amblysomus_septentrionalis",-0.111443480642341,0.307480550788321,-0.342763932325555,-1.62268540965447,0.0166672993923039,-0.40813451332838,-0.643745133603377,-0.6995528118309
"Calcochloris_obtusirostris",-0.0552396365795663,-0.147290227034919,-0.68731705775128,-0.636958679666438,0.0393337497052067,-0.622187756433253,-0.0812769047740082,0.13264447958811
"Carpitalpa_arendsi",-0.171187403008662,-0.146157988988372,-0.416996859990519,-0.470882369612943,0.104653077849785,-0.397781747315575,-0.133179543771091,0.0639177803417021
"Chlorotalpa_duthieae",-0.0552396365795663,-0.186855206882716,-0.595280462150473,-0.583122595617769,0.0635941153253804,-0.610562755977444,-0.104692936390853,0.143893820031019
"Chlorotalpa_sclateri",-0.0552396365795663,-0.093932351166975,-0.525563166064656,-0.673720244415235,0.0426767786697313,-0.66444000256451,-0.048657224457865,0.0885139341768575
"Chrysochloris_asiatica",0.646276851912482,-0.0854923231333722,-0.538225544706,-0.787790109725773,-0.0501563086413731,-0.586997476412149,0.474484382190833,0.226773101996951
"Chrysochloris_stuhlmanni",-1.21311662240985,-0.0185533241242014,-0.448683949008561,0.200616540273539,0.286862831648482,-0.374382318190647,0.445328728902155,0.33980348758865
"Chrysochloris_visagiei",0.646276851912482,-0.00466242524417298,-0.540207918260123,-0.787790109725773,-0.0374412659463552,-0.602919479785357,0.474484382190833,0.146211884969706
"Chrysospalax_trevelyani",-0.606685897027467,-0.890074310344662,0.318355195316265,-0.305852289355845,0.874747105006242,0.170119601808157,0.204309966164676,0.14474878597845
"Chrysospalax_villosus",-0.0830912738053438,-0.0692822138505132,-0.171113865362917,-0.195436218957106,0.0229260935814318,-0.190144013724508,-0.140619559572441,0.125227110072016
"Cryptochloris_wintoni",0.0827266152395589,-0.189245304858678,-0.704653624022554,-0.73864218718632,0.00144948357036836,-0.767421703049072,-0.0738941672164422,0.146258956748909
"Cryptochloris_zyli",0.200449225396352,-0.223085040678674,-0.732889992408988,-0.617222272208549,0.0178411017749024,-0.767475980183871,-0.128256636560633,0.13799762121654
"Eremitalpa_granti",-0.8876094823036,-0.0664137541685601,-0.705871216932742,-0.96426884950516,0.15579641295346,-0.870174256935439,0.00713283333929173,0.120677274018328
"Neamblysomus_gunningi",-0.0276948818326627,-0.1449659946912,-0.384674917728679,-0.50606950386577,0.055092392934753,-0.431827718477729,-0.133751693904253,0.107719080442327
"Neamblysomus_julianae",-1.21311662240985,-0.0356031915166234,-0.718445669374434,0.0423214819287472,0.214060611851015,-0.524344246328551,-0.0222400278456524,0.436810289832052
"Echinops_telfairi",1.5377458825972,-0.890074310344662,-0.0155000489293176,0.813745380603893,0.0526568665162663,-0.146065544186824,-0.639618816418199,0.151684469595053
"Geogale_aurita",0.893786079721345,0.307480550788321,-1.13158806033941,-0.925492269495987,0.10010654945237,-0.971883135445889,-0.392097172007555,-0.23703175586789
"Hemicentetes_nigriceps",1.3965573277891,0.307480550788321,-0.11520847110917,-0.691001286778272,-0.0186616077149771,-0.0767522959156132,-0.989208742718044,-1.67566337755312
"Hemicentetes_semispinosus",1.44300490264533,0.0767775012250617,-0.0928082817972285,-0.679201205882139,-0.0342423154405896,-0.0767522959156132,-1.01970278921832,-1.72804113306029
"Limnogale_mergulus",0.51176714604505,-0.890074310344662,-0.279653202163266,0.161259522481052,0.0544971521696692,-0.220705855979667,-0.297364990646126,0.361541056064787
"Microgale_brevicaudata",1.22404765006795,-0.242396766410171,-1.02938521864788,-0.767193237093435,-0.11760543932352,-1.08527485325478,-0.1983060928484,0.196626140282396
"Microgale_cowani",0.633970688438574,0.08893743560492,-0.922252212827203,-1.5466532976775,-0.021227179090404,-0.7145487814381,-0.551641489722786,-0.516993261827383
"Microgale_dobsoni",0.394645924376997,-0.672498183667062,-0.530131200529095,0.0137607723937824,0.1289892322105,-0.571330819751391,-0.655442870965413,1.07004202675361
"Microgale_drouhardi",0.596115814664876,-0.000443138279205067,-0.923248062472129,-1.5466532976775,-0.0081087112409365,-0.882430502168396,-0.303556167817616,0.0299406267170569
"Microgale_dryas",0.645460850648699,-0.295736479419271,-0.510466078018497,-0.0597681147805899,-0.0192038364816481,-0.571330819751391,-0.349844915017759,0.380644049123945
"Microgale_fotsifotsy",0.827475494885694,-0.308140406142044,-1.0832293312305,-0.676248224442495,-0.0618436347215868,-0.929651394854977,-0.407976427447584,0.173999466207618
"Microgale_gracilis",0.321319935118432,-0.749499921990156,-0.698330304734783,-0.0223421284365175,0.0850581398269562,-0.616776549148934,-0.387642061591454,0.515398383525647
"Microgale_gymnorhyncha",0.412445637606491,-0.498188847386625,-0.784204085331886,-0.0361489970871187,0.0231503304530955,-0.616776549148934,-0.381327978065842,0.509160303815423
"Microgale_longicaudata",0.734126691513592,-0.315599497609025,-1.06648382262153,-0.73523307781742,-0.0581517970429297,-0.945478635908389,-0.417214753102994,0.228001563579983
"Microgale_monticola",0.54149608905328,-0.477362825383984,-0.877899713651562,-0.398325590545876,0.027604140165905,-0.782610827710724,-0.363025025217638,0.263269872384104
"Microgale_parvula",0.927191577065728,-0.0331197361528664,-1.35434786382093,-1.16850146482119,-0.096457888798533,-1.08527485325478,-0.304612985477415,0.0834505495147127
"Microgale_principula",0.828421956803706,-0.314861500760974,-0.985489242067301,-0.720881537088783,-0.0469387696582164,-0.882430502168396,-0.380501251190209,0.214064245202449
"Microgale_pusilla",0.96397747746943,-0.171089739146937,-1.36739150499995,-0.913775981915008,-0.115363016828898,-1.23086875533535,-0.328708667389536,0.138867479013037
"Microgale_soricoides",0.361927274339901,-0.514362617715996,-0.77478284690342,-0.0400344639120634,0.043675660380891,-0.616776549148934,-0.365346481367987,0.521003558262661
"Microgale_taiva",0.611780131992629,-0.101470485789519,-0.921259207890304,-1.5466532976775,-0.0871652690960321,-0.740601178967681,-0.255008938574567,0.0303200823739279
"Microgale_talazaci",0.11648421032474,-0.713905430490905,-0.461504048069814,0.0470938172783789,0.1165079614786,-0.335737915805056,-0.624410165302819,1.02110261902294
"Microgale_thomasi",0.431158532953358,-0.241550054219941,-0.704349891001521,-0.608597075955622,-0.029518752364131,-0.7145487814381,-0.343550994988976,0.21480507541196
"Micropotamogale_lamottei",1.0103867568978,-0.306351469171835,-0.317948168074692,0.0781555798994654,-0.0590766699394816,-0.236305688196517,-0.237983659220818,0.352078824537416
"Micropotamogale_ruwenzorii",-0.169723920023804,-0.15668892141127,-0.161571228095646,0.12755938343482,0.0683753918941202,-0.0902270890033489,-0.0336596962656752,0.339730087011241
"Oryzorictes_hova",0.308215401138844,-0.0555007257665022,-0.549611471830106,-0.818642643428316,0.0156797376755427,-0.601407133115806,-0.0517060695313205,0.0807069222880362
"Oryzorictes_tetradactylus",-0.0991675213924305,-0.161603457907584,-0.547188330689566,-0.450830084031237,0.0759905640942122,-0.628476174140338,-0.0876616555292693,0.146836133958016
"Potamogale_velox",-0.00478461205356124,0.307480550788321,0.492522787611305,0.268998171810131,0.212486761394814,0.516601834576446,-0.303270357918048,0.0513486726259311
"Setifer_setosus",0.605299084830102,-0.890074310344662,0.194689486431512,0.614634521651779,0.0463462930524953,0.024835984235289,-0.860700412153327,-0.205034960530918
"Tenrec_ecaudatus",3.31059227186405,-0.189549624025536,0.56633124956932,0.128151837122514,0.10151524313844,0.583515310069795,-0.723100611246665,-0.233647421938551
"Antilocapra_americana",-0.144482496215441,-0.890074310344662,1.93465340586388,0.737713268334626,1.79107373010989,1.91715634170665,0.696347210758513,0.846563629274928
"Addax_nasomaculatus",-1.14871766728271,-0.890074310344662,2.18890439115105,1.46058332369775,1.92167717923931,2.10334597519626,1.60455202950905,1.43334321324301
"Aepyceros_melampus",-1.14871766728271,-0.890074310344662,1.98535478837946,1.10957681425932,1.51686035796563,1.95466872386359,1.40563067547711,0.716177397050644
"Alcelaphus_buselaphus",-1.14871766728271,-0.781272343057324,2.37055207522849,1.22294361979394,1.76772383819325,2.3607537305738,1.57467193414162,1.16043587335976
"Alcelaphus_caama",-1.14871766728271,-0.781272343057324,2.37266402279578,1.22294361979394,1.76772383819325,2.3607537305738,1.57467193414162,1.16043587335976
"Alcelaphus_lichtensteinii",-1.16457262819897,-0.725406297055013,2.37456869953208,-0.608597075955622,1.73743831568214,2.2766566466652,1.04370741973948,0.86501348905447
"Ammodorcas_clarkei",-1.14871766728271,-0.623170515496777,1.77023264854322,-0.707469528282937,1.55715629336639,1.87086793361877,0.408728381051856,0.341918999721084
